date,season,home,away,home_goals,away_goals,xg_home,xg_away,p_home_win,p_draw,p_away_win,outcome
2022-11-29,2022,Ecuador,Senegal,1,2,1.231,1.001,0.4126,0.2863,0.2988,lose
2022-11-30,2022,Saudi Arabia,Mexico,1,2,0.707,0.828,0.284,0.3613,0.3544,lose
2022-11-30,2022,Australia,Denmark,1,0,0.59,0.802,0.2458,0.3808,0.3732,win
2022-11-30,2022,Poland,Argentina,0,2,0.759,1.138,0.2439,0.3105,0.4444,lose
2022-12-01,2022,Canada,Morocco,1,2,0.357,1.277,0.1032,0.2948,0.6,lose
2022-12-01,2022,Japan,Spain,2,1,1.397,2.229,0.2322,0.2013,0.5371,win
2022-12-01,2022,Croatia,Belgium,0,0,1.268,1.734,0.2784,0.2358,0.475,draw
2022-12-02,2022,Ghana,Uruguay,0,2,1.24,1.583,0.2973,0.2474,0.4477,lose
2022-12-02,2022,Serbia,Switzerland,2,3,1.013,1.877,0.2001,0.2235,0.5633,lose
2022-12-02,2022,Cameroon,Brazil,1,0,0.689,2.347,0.0915,0.1634,0.7125,win
2026-06-27,2026,Belgium,Egypt,1,1,2.034,0.392,0.7474,0.1743,0.0605,draw
2026-06-27,2026,Belgium,Iran,0,0,1.585,0.524,0.6293,0.2451,0.1198,draw
2026-06-27,2026,Egypt,Iran,1,1,0.7,1.107,0.2306,0.3183,0.4501,draw
2026-06-27,2026,Saudi Arabia,Uruguay,1,1,0.588,1.627,0.1312,0.2413,0.6209,draw
2026-06-27,2026,Spain,Saudi Arabia,4,0,2.564,1.164,0.6296,0.1708,0.152,win
2026-06-27,2026,Uruguay,Spain,0,1,1.627,1.335,0.437,0.2419,0.3121,lose
2026-06-27,2026,France,Senegal,3,1,2.009,0.906,0.6133,0.208,0.1615,win
2026-06-27,2026,Ghana,Panama,1,0,3.332,0.95,0.7026,0.107,0.069,win
2026-06-27,2026,Argentina,Algeria,3,0,1.765,1.752,0.3821,0.2221,0.3772,win
2026-06-27,2026,England,Croatia,4,2,2.116,1.404,0.5175,0.2089,0.2493,win
2026-06-27,2026,Tunisia,Netherlands,1,3,1.233,1.973,0.2346,0.2179,0.5302,lose
2026-06-27,2026,Brazil,Morocco,1,1,0.996,0.763,0.3982,0.3302,0.2709,draw
2026-06-27,2026,Tunisia,Japan,0,4,1.013,1.41,0.2699,0.2684,0.4578,lose
2026-06-27,2026,England,Ghana,0,0,3.272,1.258,0.6491,0.128,0.1075,draw
2026-06-27,2026,Mexico,South Korea,1,0,0.845,0.876,0.3222,0.3379,0.3394,win
2026-06-27,2026,Qatar,Switzerland,1,1,0.524,2.785,0.0464,0.1129,0.777,draw
2026-06-27,2026,Canada,Qatar,6,0,1.065,0.755,0.4226,0.321,0.2555,win
2026-06-27,2026,Switzerland,Canada,2,1,2.631,0.7,0.7342,0.1389,0.0755,win
2026-06-27,2026,USA,Australia,2,0,1.162,0.72,0.4618,0.309,0.2279,win
2026-06-27,2026,Ecuador,Germany,2,1,1.041,0.953,0.3679,0.3087,0.3222,win
2026-06-27,2026,Netherlands,Japan,2,2,1.621,1.41,0.4196,0.2401,0.3306,draw
2026-06-27,2026,Sweden,Tunisia,5,1,2.056,0.646,0.6855,0.1905,0.1053,win
2026-06-27,2026,Netherlands,Sweden,5,1,1.033,2.056,0.1822,0.2075,0.5909,win
2026-06-27,2026,Japan,Sweden,1,1,0.749,1.689,0.1631,0.2381,0.5909,draw
2026-06-27,2026,Panama,Croatia,0,1,0.584,3.71,0.0258,0.0637,0.7392,lose
