date,season,competition,team,opponent,is_home,goals_scored,goals_conceded,result,points,avg_scored_last5,avg_conceded_last5,avg_pts_last5,win_rate_last5
2026-06-27,2026,World Cup,Norway,Iraq,0,4,1,W,3,,,,0.0
2026-06-27,2026,World Cup,Norway,Senegal,1,3,2,W,3,4.0,1.0,3.0,0.5
2026-06-27,2026,World Cup,Norway,France,1,1,4,L,0,3.5,1.5,3.0,0.67
