date,season,competition,team,opponent,is_home,goals_scored,goals_conceded,result,points,avg_scored_last5,avg_conceded_last5,avg_pts_last5,win_rate_last5
2014-06-16,2014,World Cup,USA,Ghana,0,2,1,W,3,,,,0.0
2014-06-22,2014,World Cup,USA,Portugal,1,2,2,D,1,2.0,1.0,3.0,0.5
2014-06-26,2014,World Cup,USA,Germany,1,0,1,L,0,2.0,1.5,2.0,0.33
2022-11-21,2022,World Cup,USA,Wales,1,1,1,D,1,1.33,1.33,1.33,0.25
2022-11-25,2022,World Cup,USA,England,0,0,0,D,1,1.25,1.25,1.25,0.2
2022-11-29,2022,World Cup,USA,Iran,0,1,0,W,3,1.0,1.0,1.2,0.2
2026-06-27,2026,World Cup,USA,Paraguay,1,4,1,W,3,0.8,0.8,1.2,0.2
2026-06-27,2026,World Cup,USA,Australia,1,2,0,W,3,1.2,0.6,1.6,0.4
2026-06-27,2026,World Cup,USA,Turkey,0,2,3,L,0,1.6,0.4,2.2,0.6
